Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
Westside Three,Desa ParkCity,DESA PARKCITY,KUALA LUMPUR | DESA PARKCITY,Kuala Lumpur,KUALA LUMPUR,Freehold,Condominium,Condominium,Condominium,High-Rise,1550000.0,1007.0,15
Metropolitan Square,Damansara Perdana,DAMANSARA PERDANA,SELANGOR | DAMANSARA PERDANA,Selangor,SELANGOR,Leasehold,Service Residence,Service Residence,Service Residence,High-Rise,460000.0,445.0,15
Seri Austin Residence (Pangsapuri Seri Austin),Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,Apartment,Apartment,Apartment,High-Rise,388000.0,436.0,15
Pangsapuri Palma,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,170000.0,259.0,15
Gravit8,Port Klang,PORT KLANG,SELANGOR | PORT KLANG,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,380000.0,492.0,15
Taman Suria Jaya,Kuching,KUCHING,SARAWAK | KUCHING,Sarawak,SARAWAK,Leasehold,Flat,Flat,Flat,High-Rise,105000.0,163.0,15
Austin Regency (Pangsapuri Austin Perdana),Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,Apartment,Apartment,Apartment,High-Rise,380000.0,470.0,15
Cocobay Resort,Port Dickson,PORT DICKSON,NEGERI SEMBILAN | PORT DICKSON,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Condominium,Condominium,Condominium,High-Rise,90000.0,124.0,15
Sutramas,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,320000.0,376.0,15
One Imperial,Sungai Ara,SUNGAI ARA,PENANG | SUNGAI ARA,Penang,PENANG,Freehold,Condominium,Condominium,Condominium,High-Rise,575000.0,494.0,15
Regalia Residence,KL City,KL CITY,KUALA LUMPUR | KL CITY,Kuala Lumpur,KUALA LUMPUR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,616505.0,679.0,15
Flat Taman Pelangi Indah,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Flat,Flat,Flat,High-Rise,150000.0,228.0,15
Damiana,Ulu Bernam,ULU BERNAM,PERAK | ULU BERNAM,Perak,PERAK,Freehold,Apartment,Apartment,Apartment,High-Rise,163000.0,230.0,15
Damansara Foresta,Bandar Sri Damansara,BANDAR SRI DAMANSARA,SELANGOR | BANDAR SRI DAMANSARA,Selangor,SELANGOR,Freehold,Condominium,Condominium,Condominium,High-Rise,690000.0,452.0,15
Impian Meridian,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,595000.0,551.0,15
Taman LTAT,Bukit Jalil,BUKIT JALIL,KUALA LUMPUR | BUKIT JALIL,Kuala Lumpur,KUALA LUMPUR,Leasehold,Apartment,Apartment,Apartment,High-Rise,220000.0,304.0,15
Taman Perkasa,Hulu Langat,HULU LANGAT,SELANGOR | HULU LANGAT,Selangor,SELANGOR,Freehold,Flat,Flat,Flat,High-Rise,225000.0,299.0,15
M'tiara,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Leasehold,Apartment,Apartment,Apartment,High-Rise,420000.0,420.0,15
